,accountId,id,name,profileIconId,puuid,revisionDate,status.message,status.status_code,summonerLevel,leaguePoints,rank,wins,losses
10,LhCH2yaixm5FZ6dHybuexqHNckeV0RQh4-W3pB8vJP2_,YTMZt7CQ7cHXiADp1ZtI1GjNHdAE_HQbbSxxq_gllWinqQ,쪼렙이다말로하자,3019.0,qDSYzPIVgg_qW_BHtMol4vM9vKAq2Wa2tJTSZqn0v-t8G1majnIfey51slDDNyd6olUq55n4wzYYaA,1583187388000.0,,,250.0,1265,I,222,175
11,1IeTiK_eUxVQ403DtauUh3bunZ-mWCTWSo4qEN6AF3eMn6jIiJIW7ojU,z9y4ipNtXRAJWy8kxEbJTMLKNQYgjZnPLF5gLFk4yDqyHbA,아름답고 슬픈 꽃,7.0,q2k1AtTFwgSoKb0szSZl_j6spNfDJK4KYeF4pYrPY7hxic5eZM6-4FYlp3Ej7Qp2Dyu5PsLahfWghA,1584946706000.0,,,92.0,1246,I,83,74
12,RpfEsn4uy31t7jaK4jiAlINRVeFqbcK3fXanABDw9KIQloc,P9oKEXsIW-putU_nwPf8S8WBHcaWtHKOxaxUKT33kKU_aBU,꿈의 남자,7.0,mw5yavwd3jRTVjVSwxhJ3Xlkgqy34FD7AwPShnr2ZZqjpRbKv5SDRA2MbtserfOcE6victplAuDJnQ,1584603933000.0,,,177.0,1242,I,84,61
13,zMAyZn3-UEy_5Ee3fX2D3697oTzMpxOpzx06f--2V-JCQjE,jrCogtrl0Of0m2ptNCnySAsrzgWQeKHT19gzvo9ou9keG_8,Destiny,4491.0,QxNpA9yOJwE9D-x6FxmGSio2EFNOGLSvKExzzyBGT1sjjiTRMoqMnvFVCiM-I-_6AmSQJuSElVFMgg,1585221518000.0,,,197.0,1229,I,121,121
14,S3-N7M4SNbVkr4zY9_t4illrIVFdDEWbIGVDwIsWIIKMn8yjE1Yzm_CX,-6OhOREEpno3a9Gxsq0IJX6kRzCGVer9-qefkA2AtYYlKDs,TlGER,4027.0,xb6yolJGe0RphbYU3cnTxLVV2nUSvN8kQq5HiMCQ-4_bUpL7ckkx8tFpjdGHd5s62AuF1nJhwrhsmg,1584782533000.0,,,263.0,1158,I,133,124
15,4alTxbRq8V64QzAM-QpuksDdwB70WS4V_IDQWBYfiNqgIGA,pDy6jb36r46Abuyg8SeUT9FKPFaG-LUCIn0ajRF3kjYPVdw,Gen G Bonnie,11.0,mmpVGIrZ95RmAxvL_cH7ES29I5zFwKxxfD7m400pp2b0dxHcoU-xUIyLp1mKa-pmTM7tz9wjC1PXxw,1585137450000.0,,,492.0,1155,I,270,277
16,kBR52sFXVivea5ARzzTtj2W52muEgZQX0JgJwBp4rpdKMF4,a8GWapzrxqP2IMVzn7Ncw6-Sd7exkfxqTC5B2065oJTWc-M,KT Malrang,1391.0,4q9RA8EdUNS0Ex9SbQhgvsfP5jbznWRp8B1x_eYZ4O62QmaS3pN0c79BUHoVxv_H_3SuHIhXO-9rFw,1585122280000.0,,,255.0,1155,I,198,150
17,KJLe--RT1g3g0jUBmdWzViT55k6BBmBHpdtQWDYeXGXen5JUk2i_7qkV,YxKtz8l_tzp-y5mAEkIHIyyLdsHoB1TVAWqo8lYM_N8cU8U,댕청잇,4206.0,xKYL6doHxe1RGnfE8W9SuelElblxCD6VL0udRVgCDVcm69ygFCfPf0mhxfNo7ChMfESyzZnCmYHhpQ,1585127576000.0,,,107.0,1128,I,228,180
18,k9fNBRC8yXeqIJg2X3Tq3Ko2YuxFUd4fRfFSqC0Glyyk3Ds,VRJ3UE5P3xbH7fAWhVv8teJ3vEDmYmTv9TCq59iZRrxdld0,GIDE0N,25.0,3vbdHQCdX8vUMJKBOcDqsu1ISgAHBGEAJ2yIGCdHc52yvycbkN14TXfrdbXvqgdStueV_u8doASAFg,1584664248000.0,,,338.0,1120,I,239,192
19,ZHCA283ZhVjiz8tf4w_WhjhQfzi0g8RwhVLS54anQMS1r_s,suMzXj9OBNQ-401wdglMs-Q8aGP6K4ZcSmy9Pwe7ZN_v4YI,가루눈 OwO,4418.0,ZRK9RLS7YXvFv0Nfa24dDeR774ITuOK-_YWcsTmfkrnmMpr2VjAAeloMlgkbR8xH64m2Y_6fRgybmg,1584762415000.0,,,134.0,1119,I,164,114
