title
Detroit: Become Human™
Thumper
Beat Saber
Just Dance® 2022
Hatsune Miku: Project DIVA Future Tone
Tetris® Effect: Connected
Journey
ASTRO BOT Rescue Mission
Persona 5: Dancing in Starlight
PaRappa The Rapper™ Remastered
Dark Cloud™
PaRappa the Rapper™ 2
Taiko no Tatsujin: Drum Session!
Persona 3: Dancing in Moonlight
Hatsune Miku: VR Future Live
Just Shapes & Beats
BPM: Bullets Per Minute
Just Dance 2021
Crypt of the Necrodancer
de Blob
Patapon™ Remastered
Patapon™2 Remastered
Amplitude
Hatsune Miku: Project DIVA X
Sound Shapes
Entwined™
Music Racer
Inside My Radio
Lost Sea
Electronauts
Love Live! School Idol Festival ~after school ACTIVITY~ Wai-Wai!Home Meeting!!
Rock Band 4
Rocksmith 2014
The Legend of Heroes: Trails of Cold Steel III
Aaero
Audica
AudioBeats
AVICII Invector
Beats Fever
Beat Souls
BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien
Brain Beats
Bullet Beat
Child of Light
ChimeSharp
Cosmophony
Dance Collider
de Blob 2
DEEMO -Reborn-
DJMAX RESPECT
Energy Cycle Edge
Flight of Light
Floor Kids
FUSER™
Happy Drummer
Happy Drummer VR
Harmonix Music VR
HATSUNE MIKU VR
Hide & Dance!
InnerSpace
KickBeat Special Edition
Laserlife
Let's Sing 2018
Let's Sing 2019
Let's Sing 2020
Let's Sing 2021
Let's Sing 2022
Let's Sing Country
Let's Sing Queen
MALICIOUS FALLEN™
March to a Million
Matterfall™
MUSYNX
Mutazione
Neon Drive
OhShape
One Hand Clapping
Party Pumper
Remothered: Tormented Fathers
Rhythm 'n Bullets
Rhythm of the Gods
Sayonara Wild Hearts
Sonar Beat
Songbird Symphony
Space Channel 5 VR Kinda Funky News Flash!
Starship Disco
Stereo Aereo
SUPERBEAT: XONiC
Super Dodgeball Beats
Synth Riders
THE BIT.TRIP
The Legend of Heroes: Trails of Cold Steel IV
The Longest Road on Earth
The Metronomicon: Slay the Dance Floor
Track Lab™
We Sing
We Sing Pop
